_id,clase,geo_lat,geo_long,rdfs_label,tieneEnlaceSIG,uri
642ed9bc24816aaade326c81,PALACIO ,39.4752,-6.37285,de La Isla,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1176 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/1-palacio-de-la-isla
642ed9bc24816aaade326c82,ERMITA ,39.4751,-6.37102,de la Paz,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1160 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/10-ermita-de-la-paz
642ed9bc24816aaade326c83,TORRE ,39.4752,-6.37097,de Bujaco,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1196 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/11-torre-de-bujaco
642ed9bc24816aaade326c84,ARCO ,39.4749,-6.37101,de la Estrella,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1221 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/12-arco-de-la-estrella
642ed9bc24816aaade326c85,PALACIO ,39.4754,-6.37041,de Toledo Moctezuma,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1173 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/13-palacio-de-toledo-moctezuma
642ed9bc24816aaade326c86,IGLESIA ,39.4764,-6.37204,Santo Domingo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1167 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/14-iglesia-santo-domingo
642ed9bc24816aaade326c87,PALACIO ,39.4761,-6.37084,de los Duques de Abrantes,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1177 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/15-palacio-de-los-duques-de-abrantes
642ed9bc24816aaade326c88,PALACIO ,39.4761,-6.37228,de Galarza,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1174 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/16-palacio-de-galarza
642ed9bc24816aaade326c89,TORRE ,39.4755,-6.36982,del Rey,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1179 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/18-torre-del-rey
642ed9bc24816aaade326c8a,PALACIO ,39.476,-6.36977,de Godoy,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1178 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/19-palacio-de-godoy
642ed9bc24816aaade326c8b,TORRE ,39.4748,-6.37108,de los Pulpitos,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1220 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/2-torre-de-los-pulpitos
642ed9bc24816aaade326c8c,IGLESIA ,39.4762,-6.36914,Santiago,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1166 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/20-iglesia-santiago
642ed9bc24816aaade326c8d,TORRE ,39.4746,-6.36865,Ochavada,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1213 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/21-torre-ochavada
642ed9bc24816aaade326c8e,MONUMENTO ,39.4745,-6.3687,Muralla Arabe Este,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2101 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/22-monumento-muralla-arabe-este
642ed9bc24816aaade326c8f,TORRE ,39.4742,-6.36874,de Caleros,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1214 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/23-torre-de-caleros
642ed9bc24816aaade326c90,TORRE ,39.4752,-6.36978,de Espaderos,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1180 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/24-torre-de-espaderos
642ed9bc24816aaade326c91,ARCO ,39.4753,-6.36971,Puerta de Coria,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2104 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/25-arco-puerta-de-coria
642ed9bc24816aaade326c92,PALACIO ,39.4749,-6.36983,de Carvajal,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1182 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/26-palacio-de-carvajal
642ed9bc24816aaade326c93,TORRE ,39.4747,-6.36978,de Carvajal,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1183 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/27-torre-de-carvajal
642ed9bc24816aaade326c94,PALACIO ,39.475,-6.37022,"de Ovando,Mogollon,Perero y Paredes",http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1181 ,"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/28-palacio-de-ovando,mogollon,perero-y-paredes"
642ed9bc24816aaade326c95,CONCATEDRAL ,39.4746,-6.37013,de Santa Maria,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1163 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/29-concatedral-de-santa-maria
642ed9bc24816aaade326c96,MONUMENTO ,39.4803,-6.37551,Plaza de Toros,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1232 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/3-monumento-plaza-de-toros
642ed9bc24816aaade326c97,PALACIO ,39.4748,-6.37057,Episcopal,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1168 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/30-palacio-episcopal
642ed9bc24816aaade326c98,PALACIO ,39.4746,-6.37062,de Mayoralgo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1171 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/31-palacio-de-mayoralgo
642ed9bc24816aaade326c99,CASA ,39.4744,-6.37065,de Moraga,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1186 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/32-casa-de-moraga
642ed9bc24816aaade326c9a,CASA ,39.4743,-6.37051,de los Duques de Valencia,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1185 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/33-casa-de-los-duques-de-valencia
